chr11	91959394	91959464
chr3	187676563	187676644
chr7	391332	391394
chr5	158478589	158478598
chr9	86152595	86152671
chr10	73496013	73496122
chr7	45066728	45067057
chr7	104581511	104581826
chr11	47416330	47416377
chr20	45217840	45218066
chr8	17509194	17509223
chr16	29164276	29164303
chr1	19251999	19252025
chr19	18113497	18113578
chr4	2814121	2814173
chr2	27651079	27651135
chr6	15401038	15401067
chr2	232186706	232186761
chr17	40822613	40822653
chr14	93117847	93118042
chr2	219738569	219738577
chr2	109834010	109834148
chr14	94254076	94254092
chr17	74141537	74141566
chr21	44819099	44819123
chr12	108169217	108169314
chr1	225655146	225655154
chr7	49813424	49813437
chr8	38757858	38757899
chr8	142276522	142276533
chr10	114136302	114136365
chr1	225655011	225655039
chr4	111553898	111553914
chr10	123923869	123923887
chr19	37463952	37463992
chr21	46334450	46334460
chr8	57026506	57026533
chr17	40822041	40822061
chr2	25425395	25425417
chr16	68028052	68028131
chr16	88769941	88770131
chr1	9764850	9764871
chr3	48520626	48520665
chr17	13504776	13504797
chr12	115333753	115333857
chr20	37356313	37356330
chr19	40871656	40871678
chr10	38383097	38383309
chr7	4248707	4248866
chr5	2740503	2740527
chr15	59397205	59397420
chr11	69920045	69920065
chr19	55766296	55766320
chr1	226900505	226900521
chr14	85996917	85996935
chr11	64107477	64107619
chr2	158300427	158300485
chr6	82528497	82528686
chr19	30866086	30866112
chr2	9403744	9403770
chr8	97158006	97158018
chr5	42757512	42757640
chr1	181287633	181287642
chr20	37303000	37303007
chr16	29757564	29757692
chr10	130832367	130832381
chr7	155556566	155556600
chr8	142413012	142413121
chr2	37880456	37880503
chr2	96812345	96812369
chr16	68390618	68390663
chr20	25129140	25129158
chr12	58013474	58013487
chr4	111554064	111554077
chr17	75525139	75525180
chr18	32956774	32956853
chr2	236574688	236574774
chr8	33432560	33432573
chr11	1779926	1779973
chr3	196367690	196367895
chr5	171605385	171605414
chr11	102791155	102791266
chr9	37903889	37903895
chr18	379844	379940
chr22	46449124	46449222
chr11	117186061	117186115
chr2	133403686	133403797
chr15	96886932	96886978
chr13	58205958	58206058
chr20	48622341	48622409
