chr3	187676563	187676644
chr7	391332	391394
chr5	158478589	158478598
chr8	11565988	11565997
chr7	104581511	104581826
chr7	5371156	5371187
chr21	38080525	38080550
chr8	17509194	17509223
chr7	103629308	103629366
chr5	140207807	140207820
chr20	62369207	62369221
chr17	79406164	79406253
chr16	29164276	29164303
chr2	177017367	177017378
chr21	47971700	47971722
chr1	218098391	218098398
chr1	19251999	19252025
chr8	96085373	96085420
chr19	18113497	18113578
chr7	45018046	45018236
chr14	105640730	105640770
chr15	96865945	96865955
chr12	125039261	125039301
chr17	33478115	33478142
chr2	112124096	112124151
chr12	54071106	54071114
chr2	232186706	232186761
chr4	2814622	2814718
chr2	171570261	171570269
chr3	138663980	138664002
chr22	36773395	36773570
chr17	40822613	40822653
chr19	12306143	12306166
chr22	20783998	20784048
chr1	154375706	154375773
chr17	76127253	76127408
chr1	45009127	45009259
chr18	72916692	72916705
chr14	93117847	93118042
chr2	109834010	109834148
chr4	8082086	8082177
chr4	111532578	111532650
chr6	41515921	41515938
chr19	10624949	10624963
chr14	94254076	94254092
chr16	31488890	31488912
chr17	74141537	74141566
chr21	44819099	44819123
chr15	27136915	27136924
chr6	10393363	10393497
chr2	73147431	73147444
chr5	50694887	50694985
chr8	38757858	38757899
chr9	126785062	126785097
chr8	142276522	142276533
chr7	6066065	6066099
chr2	64632724	64632772
chr16	88758463	88758479
chr10	114136302	114136365
chr11	67804601	67804688
chr2	160761118	160761165
chr9	127265806	127265816
chr1	151870591	151870681
chr5	110406515	110406530
chr19	58629492	58629522
chr21	46334450	46334460
chr4	184828032	184828058
chr12	64784380	64784575
chr2	70057016	70057043
chr17	40822041	40822061
chr2	25425395	25425417
chr16	68028052	68028131
chr16	88769941	88770131
chr16	58535445	58535463
chr3	48520626	48520665
chr3	170137672	170137687
chr13	109793395	109793413
chr12	115333753	115333857
chr14	73712647	73712670
chr17	59482675	59482690
chr11	69229767	69229875
chr7	4248707	4248866
chr2	66666590	66666648
chr8	145900816	145901119
chr5	139227605	139227613
chr17	72462820	72462912
chr7	150118268	150118346
